0	1	1
0	2	1
1	2	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
5	6	1
5	7	1
5	8	1
5	9	1
6	7	1
6	8	1
6	9	1
7	8	1
7	9	1
8	9	1
10	11	1
10	12	1
10	13	1
10	14	1
10	15	1
11	12	9
11	13	1
11	14	2
11	15	2
12	13	1
12	14	2
12	15	2
13	14	2
13	15	2
14	15	2
16	17	1
11	18	1
12	18	1
18	19	2
18	20	1
19	20	1
18	21	1
18	12	1
21	12	1
18	22	3
22	23	2
23	24	1
25	26	1
25	27	1
26	27	1
11	25	4
25	12	3
12	11	1
12	25	2
3	11	1
3	12	1
25	11	1
6	11	1
6	12	1
6	5	1
6	28	1
6	25	1
11	5	1
11	28	1
12	5	1
12	28	1
5	28	1
5	25	1
28	25	1
22	29	2
22	30	1
29	30	1
22	31	2
22	18	2
31	18	1
32	19	1
32	33	1
19	33	2
18	34	2
18	35	1
18	23	1
18	25	2
34	19	1
34	35	1
34	23	1
34	25	2
19	35	1
19	23	1
19	25	1
35	23	1
35	25	1
23	25	2
36	37	1
38	27	1
39	40	1
39	41	1
39	42	1
40	41	1
40	42	1
41	42	1
43	44	1
45	36	2
45	46	1
45	47	2
45	48	2
36	46	1
36	47	1
36	48	2
46	47	1
46	48	1
47	48	8
45	27	2
39	47	1
39	49	1
39	50	1
39	48	1
47	49	1
47	50	10
49	50	1
49	48	1
50	48	3
47	45	7
47	51	5
45	51	2
51	52	1
51	53	1
52	53	1
47	54	1
51	45	3
51	54	1
45	54	1
47	36	2
47	55	1
45	55	1
56	57	1
27	45	3
27	51	3
58	59	1
58	18	1
59	18	1
22	60	1
60	18	1
61	62	1
18	63	1
18	64	2
63	64	3
18	29	2
64	29	1
18	65	1
61	66	1
67	37	1
29	54	1
29	18	2
18	43	1
18	27	1
18	47	1
43	27	4
43	47	3
27	47	4
43	29	2
43	64	2
43	68	1
27	29	1
27	64	1
27	68	3
29	64	4
29	68	1
64	68	1
29	47	2
29	51	2
29	27	3
47	27	2
51	27	1
29	43	2
43	51	1
47	44	1
44	27	1
47	68	1
69	68	1
68	70	4
48	45	1
18	71	1
29	71	1
63	72	2
63	22	2
72	22	1
73	74	1
29	75	1
76	22	9
76	77	2
76	75	1
22	77	2
22	75	2
77	75	1
76	29	1
76	78	1
22	78	1
18	76	1
22	76	2
22	72	1
79	80	1
79	81	1
79	82	1
80	81	1
80	82	1
81	82	1
79	68	1
79	83	1
68	83	1
12	84	1
12	85	2
12	86	1
12	87	1
84	85	1
84	86	1
84	87	1
85	86	1
85	87	1
86	87	1
13	11	2
13	12	2
13	85	1
11	85	1
85	14	1
85	15	1
19	88	1
33	88	1
61	27	1
61	43	1
27	43	1
51	50	4
51	48	3
48	50	1
51	89	4
89	50	2
47	89	4
47	90	2
90	50	2
45	50	1
36	91	1
36	92	1
91	92	1
47	93	1
93	89	6
68	89	7
45	89	2
38	93	2
38	89	4
45	94	1
89	94	1
93	48	3
48	89	2
50	89	1
27	89	4
93	95	1
95	48	1
95	89	1
68	45	3
89	45	2
96	52	1
68	54	1
54	70	2
89	93	2
89	70	3
93	70	2
68	27	2
27	70	3
97	68	1
97	27	1
97	70	1
50	51	1
89	48	1
45	68	1
68	47	1
68	36	1
68	48	1
98	22	1
98	76	1
22	99	1
23	18	1
23	34	1
23	100	1
18	100	1
34	100	1
100	25	1
